track_id, year, month, day, hour, i, j, lon, lat, slp, wind10
5, 1980, 9, 10, 0, 84, 39, 319.218750, 42.456041, 9.982300e+04, 2.530020e+01
5, 1980, 9, 10, 6, 88, 36, 322.031250, 44.561296, 9.985000e+04, 2.425964e+01
5, 1980, 9, 10, 12, 94, 33, 326.250000, 46.666551, 1.002010e+05, 2.248600e+01
6, 1980, 9, 8, 0, 106, 82, 334.687500, 12.280678, 1.007850e+05, 1.434015e+01
6, 1980, 9, 8, 6, 104, 81, 333.281250, 12.982431, 9.984300e+04, 1.907171e+01
6, 1980, 9, 8, 12, 102, 80, 331.875000, 13.684184, 9.894200e+04, 2.779370e+01
6, 1980, 9, 8, 18, 100, 81, 330.468750, 12.982431, 9.840100e+04, 3.234826e+01
6, 1980, 9, 9, 0, 100, 81, 330.468750, 12.982431, 9.815400e+04, 3.322318e+01
6, 1980, 9, 9, 6, 99, 81, 329.765625, 12.982431, 9.761700e+04, 3.305889e+01
6, 1980, 9, 9, 12, 97, 80, 328.359375, 13.684184, 9.783900e+04, 3.857214e+01
6, 1980, 9, 9, 18, 96, 81, 327.656250, 12.982431, 9.750600e+04, 3.265593e+01
6, 1980, 9, 10, 0, 95, 80, 326.953125, 13.684184, 9.769000e+04, 3.896177e+01
6, 1980, 9, 10, 6, 94, 79, 326.250000, 14.385937, 9.712200e+04, 3.744142e+01
6, 1980, 9, 10, 12, 93, 79, 325.546875, 14.385937, 9.744800e+04, 3.221180e+01
6, 1980, 9, 10, 18, 93, 79, 325.546875, 14.385937, 9.739900e+04, 3.487606e+01
6, 1980, 9, 11, 0, 92, 78, 324.843750, 15.087690, 9.776800e+04, 3.340539e+01
6, 1980, 9, 11, 6, 92, 77, 324.843750, 15.789443, 9.733900e+04, 3.076313e+01
6, 1980, 9, 11, 12, 93, 76, 325.546875, 16.491196, 9.745700e+04, 3.372907e+01
6, 1980, 9, 11, 18, 92, 75, 324.843750, 17.192949, 9.723600e+04, 3.393287e+01
6, 1980, 9, 12, 0, 92, 75, 324.843750, 17.192949, 9.785300e+04, 3.133129e+01
6, 1980, 9, 12, 6, 91, 75, 324.140625, 17.192949, 9.773000e+04, 3.261810e+01
6, 1980, 9, 12, 12, 90, 75, 323.437500, 17.192949, 9.879100e+04, 2.954623e+01
6, 1980, 9, 12, 18, 89, 74, 322.734375, 17.894702, 9.816600e+04, 3.325808e+01
6, 1980, 9, 13, 0, 88, 75, 322.031250, 17.192949, 9.903300e+04, 2.800589e+01
6, 1980, 9, 13, 6, 86, 74, 320.625000, 17.894702, 9.829700e+04, 3.226670e+01
6, 1980, 9, 13, 12, 84, 74, 319.218750, 17.894702, 9.851700e+04, 3.372002e+01
6, 1980, 9, 13, 18, 81, 74, 317.109375, 17.894702, 9.773400e+04, 3.846063e+01
6, 1980, 9, 14, 0, 80, 74, 316.406250, 17.894702, 9.932200e+04, 2.680616e+01
6, 1980, 9, 14, 6, 78, 72, 315.000000, 19.298207, 9.713600e+04, 4.403237e+01
6, 1980, 9, 14, 12, 75, 71, 312.890625, 19.999960, 9.847600e+04, 3.325838e+01
6, 1980, 9, 14, 18, 74, 69, 312.187500, 21.403466, 9.739900e+04, 3.731179e+01
6, 1980, 9, 15, 0, 71, 67, 310.078125, 22.806972, 9.726700e+04, 4.360332e+01
6, 1980, 9, 15, 6, 70, 67, 309.375000, 22.806972, 9.836500e+04, 3.330976e+01
6, 1980, 9, 15, 12, 69, 65, 308.671875, 24.210477, 9.764600e+04, 3.486904e+01
6, 1980, 9, 15, 18, 69, 63, 308.671875, 25.613983, 9.744100e+04, 3.618453e+01
6, 1980, 9, 16, 0, 69, 61, 308.671875, 27.017488, 9.780600e+04, 3.249138e+01
6, 1980, 9, 16, 6, 70, 59, 309.375000, 28.420994, 9.698900e+04, 3.617319e+01
6, 1980, 9, 16, 12, 71, 57, 310.078125, 29.824499, 9.773900e+04, 3.364000e+01
6, 1980, 9, 16, 18, 72, 55, 310.781250, 31.228004, 9.800700e+04, 3.167649e+01
6, 1980, 9, 17, 0, 74, 53, 312.187500, 32.631509, 9.871800e+04, 2.716266e+01
6, 1980, 9, 17, 6, 75, 51, 312.890625, 34.035014, 9.859700e+04, 2.906217e+01
6, 1980, 9, 17, 12, 75, 50, 312.890625, 34.736767, 9.875500e+04, 2.755449e+01
6, 1980, 9, 17, 18, 76, 49, 313.593750, 35.438519, 9.920100e+04, 2.420434e+01
6, 1980, 9, 18, 0, 77, 47, 314.296875, 36.842024, 9.906400e+04, 2.583118e+01
6, 1980, 9, 18, 6, 76, 46, 313.593750, 37.543776, 9.814700e+04, 3.140701e+01
6, 1980, 9, 18, 12, 75, 45, 312.890625, 38.245528, 9.805400e+04, 3.131773e+01
6, 1980, 9, 18, 18, 75, 44, 312.890625, 38.947280, 9.828000e+04, 2.942414e+01
6, 1980, 9, 19, 0, 76, 42, 313.593750, 40.350785, 9.849600e+04, 2.713006e+01
6, 1980, 9, 19, 6, 77, 40, 314.296875, 41.754289, 9.844200e+04, 2.930683e+01
6, 1980, 9, 19, 12, 79, 38, 315.703125, 43.157793, 9.898900e+04, 2.491767e+01
6, 1980, 9, 19, 18, 81, 36, 317.109375, 44.561296, 9.912600e+04, 2.286416e+01
6, 1980, 9, 20, 0, 83, 35, 318.515625, 45.263048, 9.927000e+04, 2.269207e+01
6, 1980, 9, 20, 6, 87, 33, 321.328125, 46.666551, 9.926700e+04, 2.227038e+01
6, 1980, 9, 20, 12, 91, 31, 324.140625, 48.070054, 9.943500e+04, 2.128685e+01
6, 1980, 9, 20, 18, 94, 29, 326.250000, 49.473557, 9.963900e+04, 1.869465e+01
7, 1980, 9, 8, 12, 15, 85, 270.703125, 10.175419, 1.007020e+05, 1.334054e+01
7, 1980, 9, 8, 18, 14, 84, 270.000000, 10.877172, 1.007760e+05, 1.428006e+01
7, 1980, 9, 9, 0, 14, 84, 270.000000, 10.877172, 1.005060e+05, 1.494824e+01
7, 1980, 9, 9, 6, 13, 84, 269.296875, 10.877172, 1.005360e+05, 1.651484e+01
7, 1980, 9, 9, 12, 11, 83, 267.890625, 11.578925, 1.006270e+05, 1.824966e+01
7, 1980, 9, 9, 18, 10, 83, 267.187500, 11.578925, 1.006060e+05, 1.622252e+01
7, 1980, 9, 10, 0, 9, 83, 266.484375, 11.578925, 1.006380e+05, 1.593142e+01
7, 1980, 9, 10, 6, 8, 83, 265.781250, 11.578925, 1.007830e+05, 1.322460e+01
7, 1980, 9, 10, 12, 7, 83, 265.078125, 11.578925, 1.005100e+05, 1.344061e+01
7, 1980, 9, 10, 18, 6, 83, 264.375000, 11.578925, 1.005160e+05, 1.612452e+01
7, 1980, 9, 11, 0, 6, 83, 264.375000, 11.578925, 1.001420e+05, 1.698499e+01
7, 1980, 9, 11, 6, 5, 83, 263.671875, 11.578925, 1.002420e+05, 1.619290e+01
7, 1980, 9, 11, 12, 4, 83, 262.968750, 11.578925, 9.995800e+04, 1.781039e+01
7, 1980, 9, 11, 18, 3, 82, 262.265625, 12.280678, 1.000100e+05, 2.014373e+01
7, 1980, 9, 12, 0, 2, 81, 261.562500, 12.982431, 9.992300e+04, 1.879840e+01
7, 1980, 9, 12, 6, 0, 80, 260.156250, 13.684184, 1.003170e+05, 1.576991e+01
7, 1980, 9, 12, 12, 0, 80, 260.156250, 13.684184, 1.002300e+05, 1.581423e+01
7, 1980, 9, 12, 18, 0, 79, 260.156250, 14.385937, 1.007470e+05, 1.343317e+01
8, 1980, 9, 14, 12, 9, 83, 266.484375, 11.578925, 1.006710e+05, 1.080000e+01
8, 1980, 9, 14, 18, 10, 84, 267.187500, 10.877172, 1.007630e+05, 1.105351e+01
8, 1980, 9, 15, 0, 9, 84, 266.484375, 10.877172, 1.005770e+05, 1.338432e+01
8, 1980, 9, 15, 6, 9, 84, 266.484375, 10.877172, 1.004950e+05, 1.320038e+01
8, 1980, 9, 15, 12, 9, 83, 266.484375, 11.578925, 1.002320e+05, 1.250960e+01
8, 1980, 9, 15, 18, 9, 84, 266.484375, 10.877172, 1.002640e+05, 1.581139e+01
8, 1980, 9, 16, 0, 9, 84, 266.484375, 10.877172, 1.000160e+05, 1.715488e+01
8, 1980, 9, 16, 6, 9, 84, 266.484375, 10.877172, 1.002750e+05, 1.882976e+01
8, 1980, 9, 16, 12, 8, 84, 265.781250, 10.877172, 1.001220e+05, 1.657468e+01
8, 1980, 9, 16, 18, 9, 84, 266.484375, 10.877172, 1.002540e+05, 1.613846e+01
